EmployeeID,FullName,Age,Gender,Department,Designation,EducationQualification,MonthlySalary,DateOfJoining,YearsWithCompany,YearsInRole,AppraisalRating,TrainingHours,DoesOvertime,JobSatisfaction,WorkLifeBalance,MaritalStatus,PreviousCompanies,DistanceFromHome,LeavesTaken,City,LeftCompany
EMP20230001,Sahil Tailor,48,Other,HR,Accounts Officer,B.Tech,111813,5/26/2020,5,0,3,37,Yes,4,3,Single,0,12.2,4,Mumbai,No
EMP20230002,Parinaaz Choudhary,26,Female,IT,Accounts Officer,B.Tech,87425,10/2/2020,5,2,3,39,No,2,2,Divorced,0,36.7,29,Kolkata,No
EMP20230003,Anahi Babu,40,Male,IT,Software Engineer,Diploma,86461,5/1/2021,4,4,2,32,No,2,3,Married,1,45.4,0,Bengaluru,Yes
EMP20230004,Dhruv Dass,54,Other,HR,Accounts Officer,Diploma,23720,4/1/2023,2,2,1,21,Yes,4,4,Married,0,29.9,27,Kolkata,No
EMP20230005,Seher Bal,51,Other,Admin,Sales Associate,B.Tech,39041,12/19/2018,7,1,1,30,No,2,2,Single,0,26.8,6,Delhi,Yes
EMP20230006,Priyansh Shenoy,59,Female,IT,Software Engineer,BA,78229,7/14/2021,4,4,4,47,No,2,2,Married,4,23.9,25,Kolkata,No
EMP20230007,Sara Bora,33,Other,HR,Software Engineer,MBA,106353,3/17/2020,5,0,2,23,No,1,1,Divorced,3,18.1,12,Mumbai,Yes
EMP20230008,Sahil Thakur,46,Male,IT,Sales Associate,MBA,48071,12/8/2019,6,0,1,36,No,3,2,Married,0,46.6,18,Kolkata,No
EMP20230009,Aayush Kota,32,Other,Sales,Sales Associate,Diploma,34670,8/6/2022,3,2,5,33,No,3,4,Divorced,2,48.1,24,Chennai,No
EMP20230010,Shamik Dua,32,Male,IT,HR Executive,B.Tech,57228,3/21/2022,3,0,3,46,Yes,2,3,Married,1,34.7,19,Chennai,Yes
EMP20230011,Suhana Vaidya,39,Female,Sales,Sales Associate,MBA,69262,2/21/2021,4,1,3,52,Yes,5,4,Married,0,25,11,Kolkata,No
